X,CH1,
Second,Volt,
2.3376399e-03,1.16800e+01,
2.3376499e-03,1.17800e+01,
2.3376599e-03,1.19400e+01,
2.3376700e-03,1.21400e+01,
2.3376800e-03,1.22200e+01,
2.3376900e-03,1.22200e+01,
2.3377000e-03,1.20400e+01,
2.3377100e-03,1.17600e+01,
2.3377200e-03,1.14600e+01,
2.3377300e-03,1.12000e+01,
2.3377400e-03,1.09600e+01,
2.3377500e-03,1.08600e+01,
2.3377601e-03,1.08600e+01,
2.3377701e-03,1.10000e+01,
2.3377801e-03,1.12800e+01,
2.3377901e-03,1.16000e+01,
2.3378001e-03,1.17600e+01,
2.3378099e-03,1.18600e+01,
2.3378199e-03,1.20600e+01,
2.3378299e-03,1.21800e+01,
2.3378399e-03,1.22200e+01,
2.3378499e-03,1.20800e+01,
2.3378599e-03,1.18600e+01,
2.3378700e-03,1.16000e+01,
2.3378800e-03,1.13200e+01,
2.3378900e-03,1.10800e+01,
2.3379000e-03,1.09400e+01,
2.3379100e-03,1.08800e+01,
2.3379200e-03,1.09400e+01,
2.3379300e-03,1.11800e+01,
2.3379400e-03,1.14400e+01,
2.3379500e-03,1.16800e+01,
2.3379601e-03,1.18200e+01,
2.3379701e-03,1.19800e+01,
2.3379801e-03,1.21400e+01,
2.3379901e-03,1.21800e+01,
2.3380001e-03,1.21400e+01,
2.3380099e-03,1.19400e+01,
2.3380199e-03,1.17000e+01,
2.3380299e-03,1.14200e+01,
2.3380399e-03,1.12000e+01,
2.3380499e-03,1.10200e+01,
2.3380599e-03,1.09200e+01,
2.3380700e-03,1.09200e+01,
2.3380800e-03,1.10600e+01,
2.3380900e-03,1.13200e+01,
2.3381000e-03,1.15600e+01,
2.3381100e-03,1.17400e+01,
2.3381200e-03,1.19000e+01,
2.3381300e-03,1.20600e+01,
2.3381400e-03,1.21600e+01,
2.3381501e-03,1.21600e+01,
2.3381601e-03,1.20400e+01,
2.3381701e-03,1.18000e+01,
2.3381801e-03,1.15200e+01,
2.3381901e-03,1.13200e+01,
2.3382001e-03,1.11200e+01,
2.3382099e-03,1.10000e+01,
2.3382199e-03,1.09600e+01,
2.3382299e-03,1.10400e+01,
2.3382399e-03,1.12000e+01,
2.3382499e-03,1.14400e+01,
2.3382599e-03,1.16600e+01,
2.3382700e-03,1.17800e+01,
2.3382800e-03,1.19600e+01,
2.3382900e-03,1.20600e+01,
2.3383000e-03,1.21200e+01,
2.3383100e-03,1.20800e+01,
2.3383200e-03,1.19200e+01,
2.3383300e-03,1.16800e+01,
2.3383400e-03,1.14400e+01,
2.3383501e-03,1.12400e+01,
2.3383601e-03,1.11000e+01,
2.3383701e-03,1.10200e+01,
2.3383801e-03,1.10000e+01,
2.3383901e-03,1.11200e+01,
2.3384001e-03,1.13200e+01,
2.3384099e-03,1.15200e+01,
2.3384199e-03,1.17000e+01,
2.3384299e-03,1.18600e+01,
2.3384399e-03,1.19800e+01,
2.3384499e-03,1.20800e+01,
2.3384599e-03,1.21000e+01,
2.3384700e-03,1.20200e+01,
2.3384800e-03,1.18200e+01,
2.3384900e-03,1.15600e+01,
2.3385000e-03,1.13600e+01,
