X,CH1,
Second,Volt,
2.3209599e-03,1.11000e+01,
2.3210000e-03,1.21800e+01,
2.3210400e-03,1.20400e+01,
2.3210801e-03,1.09000e+01,
2.3211199e-03,1.12400e+01,
2.3211599e-03,1.21800e+01,
2.3212000e-03,1.18600e+01,
2.3212400e-03,1.09600e+01,
2.3212801e-03,1.14000e+01,
2.3213199e-03,1.21200e+01,
2.3213599e-03,1.17200e+01,
2.3214000e-03,1.09800e+01,
2.3214400e-03,1.15000e+01,
2.3214801e-03,1.21200e+01,
2.3215199e-03,1.16000e+01,
2.3215599e-03,1.10200e+01,
2.3216000e-03,1.16000e+01,
2.3216400e-03,1.20800e+01,
2.3216801e-03,1.15200e+01,
2.3217199e-03,1.10600e+01,
2.3217599e-03,1.16200e+01,
2.3218000e-03,1.20600e+01,
2.3218400e-03,1.10600e+01,
2.3218801e-03,1.15200e+01,
2.3219199e-03,1.20200e+01,
2.3219599e-03,1.16000e+01,
2.3220000e-03,1.10800e+01,
2.3220400e-03,1.15600e+01,
2.3220801e-03,1.20000e+01,
2.3221199e-03,1.15600e+01,
2.3221599e-03,1.11200e+01,
2.3222000e-03,1.15600e+01,
2.3222400e-03,1.20400e+01,
2.3222801e-03,1.15200e+01,
2.3223199e-03,1.11200e+01,
2.3223599e-03,1.16000e+01,
2.3224000e-03,1.20000e+01,
2.3224400e-03,1.14800e+01,
2.3224801e-03,1.10800e+01,
2.3225199e-03,1.16200e+01,
2.3225599e-03,1.20400e+01,
2.3226000e-03,1.14600e+01,
2.3226400e-03,1.10600e+01,
2.3226801e-03,1.16800e+01,
2.3227199e-03,1.20800e+01,
2.3227599e-03,1.13800e+01,
2.3228000e-03,1.10400e+01,
2.3228400e-03,1.17800e+01,
2.3228801e-03,1.21000e+01,
2.3229199e-03,1.12800e+01,
2.3229599e-03,1.10000e+01,
2.3230000e-03,1.19000e+01,
2.3230400e-03,1.21600e+01,
2.3230801e-03,1.11200e+01,
2.3231199e-03,1.09600e+01,
2.3231599e-03,1.20200e+01,
2.3232000e-03,1.21800e+01,
2.3232400e-03,1.10000e+01,
2.3232801e-03,1.09200e+01,
2.3233199e-03,1.21200e+01,
2.3233599e-03,1.22000e+01,
2.3234000e-03,1.09200e+01,
2.3234400e-03,1.08800e+01,
2.3234801e-03,1.22000e+01,
2.3235199e-03,1.22400e+01,
2.3235600e-03,1.08600e+01,
2.3236000e-03,1.09200e+01,
2.3236400e-03,1.22400e+01,
2.3236801e-03,1.22000e+01,
2.3237199e-03,1.08400e+01,
2.3237600e-03,1.09800e+01,
2.3238000e-03,1.22800e+01,
2.3238400e-03,1.21400e+01,
2.3238801e-03,1.08200e+01,
2.3239199e-03,1.11400e+01,
2.3239600e-03,1.22800e+01,
2.3240000e-03,1.20200e+01,
2.3240400e-03,1.08200e+01,
2.3240801e-03,1.13200e+01,
2.3241199e-03,1.22800e+01,
2.3241600e-03,1.19000e+01,
2.3242000e-03,1.08000e+01,
2.3242400e-03,1.15200e+01,
2.3242801e-03,1.22800e+01,
2.3243199e-03,1.17000e+01,
2.3243600e-03,1.07800e+01,
2.3244000e-03,1.16400e+01,
2.3244401e-03,1.22600e+01,
2.3244801e-03,1.07800e+01,
2.3245199e-03,1.16000e+01,
2.3245600e-03,1.22800e+01,
2.3246000e-03,1.16400e+01,
2.3246401e-03,1.07600e+01,
2.3246801e-03,1.16800e+01,
2.3247199e-03,1.22800e+01,
2.3247600e-03,1.14800e+01,
2.3248000e-03,1.08000e+01,
2.3248401e-03,1.16800e+01,
2.3248801e-03,1.22800e+01,
2.3249199e-03,1.13200e+01,
2.3249600e-03,1.07600e+01,
2.3250000e-03,1.17600e+01,
2.3250401e-03,1.22800e+01,
2.3250801e-03,1.11200e+01,
2.3251199e-03,1.07600e+01,
2.3251600e-03,1.18800e+01,
2.3252000e-03,1.22800e+01,
2.3252401e-03,1.09800e+01,
2.3252801e-03,1.08000e+01,
2.3253199e-03,1.20200e+01,
2.3253600e-03,1.22800e+01,
2.3254000e-03,1.08400e+01,
2.3254401e-03,1.07600e+01,
2.3254801e-03,1.21600e+01,
2.3255199e-03,1.22800e+01,
2.3255600e-03,1.07800e+01,
2.3256000e-03,1.08400e+01,
2.3256401e-03,1.22400e+01,
2.3256801e-03,1.22600e+01,
2.3257199e-03,1.07600e+01,
2.3257600e-03,1.09200e+01,
2.3258000e-03,1.22800e+01,
2.3258401e-03,1.21800e+01,
2.3258801e-03,1.07600e+01,
2.3259199e-03,1.11200e+01,
2.3259600e-03,1.22800e+01,
2.3260000e-03,1.20200e+01,
2.3260401e-03,1.08200e+01,
2.3260801e-03,1.13600e+01,
2.3261199e-03,1.22800e+01,
2.3261600e-03,1.19000e+01,
2.3262000e-03,1.07800e+01,
2.3262401e-03,1.12000e+01,
2.3262801e-03,1.22800e+01,
2.3263199e-03,1.20000e+01,
2.3263600e-03,1.07800e+01,
2.3264000e-03,1.14400e+01,
2.3264401e-03,1.22400e+01,
2.3264801e-03,1.18400e+01,
2.3265199e-03,1.07800e+01,
2.3265600e-03,1.16200e+01,
2.3266000e-03,1.22800e+01,
2.3266401e-03,1.16400e+01,
2.3266801e-03,1.08000e+01,
2.3267199e-03,1.17200e+01,
2.3267600e-03,1.22800e+01,
2.3268000e-03,1.08200e+01,
2.3268401e-03,1.16400e+01,
2.3268801e-03,1.22600e+01,
2.3269199e-03,1.16000e+01,
2.3269600e-03,1.08000e+01,
2.3270000e-03,1.17200e+01,
2.3270401e-03,1.22800e+01,
2.3270799e-03,1.14200e+01,
2.3271199e-03,1.08000e+01,
2.3271600e-03,1.17400e+01,
2.3272000e-03,1.22400e+01,
2.3272401e-03,1.12400e+01,
2.3272799e-03,1.08200e+01,
2.3273199e-03,1.18400e+01,
2.3273600e-03,1.22600e+01,
2.3274000e-03,1.10600e+01,
2.3274401e-03,1.07800e+01,
2.3274799e-03,1.19600e+01,
2.3275199e-03,1.22800e+01,
2.3275600e-03,1.09200e+01,
2.3276000e-03,1.08200e+01,
2.3276401e-03,1.20800e+01,
2.3276799e-03,1.22400e+01,
2.3277199e-03,1.08200e+01,
2.3277600e-03,1.08000e+01,
2.3278000e-03,1.22000e+01,
2.3278401e-03,1.22800e+01,
2.3278799e-03,1.08000e+01,
2.3279199e-03,1.08800e+01,
2.3279600e-03,1.22600e+01,
2.3280000e-03,1.22000e+01,
2.3280401e-03,1.08200e+01,
2.3280799e-03,1.10000e+01,
2.3281199e-03,1.22600e+01,
2.3281600e-03,1.21200e+01,
2.3282000e-03,1.08000e+01,
2.3282401e-03,1.12000e+01,
2.3282799e-03,1.22800e+01,
2.3283199e-03,1.19600e+01,
2.3283600e-03,1.08200e+01,
2.3284000e-03,1.14400e+01,
2.3284401e-03,1.22400e+01,
2.3284799e-03,1.18000e+01,
2.3285199e-03,1.08200e+01,
2.3285600e-03,1.16200e+01,
2.3286000e-03,1.22600e+01,
2.3286401e-03,1.16400e+01,
2.3286799e-03,1.08000e+01,
2.3287199e-03,1.17200e+01,
2.3287600e-03,1.22600e+01,
2.3288000e-03,1.08200e+01,
2.3288401e-03,1.16400e+01,
2.3288799e-03,1.22400e+01,
2.3289199e-03,1.15600e+01,
2.3289600e-03,1.08200e+01,
2.3290000e-03,1.17200e+01,
2.3290401e-03,1.22600e+01,
2.3290799e-03,1.13800e+01,
2.3291199e-03,1.08000e+01,
2.3291600e-03,1.17600e+01,
2.3292000e-03,1.22400e+01,
2.3292401e-03,1.12200e+01,
2.3292799e-03,1.08200e+01,
2.3293199e-03,1.18600e+01,
2.3293600e-03,1.22600e+01,
2.3294000e-03,1.10200e+01,
2.3294401e-03,1.08000e+01,
2.3294799e-03,1.20000e+01,
2.3295199e-03,1.22600e+01,
2.3295600e-03,1.09200e+01,
2.3296000e-03,1.08200e+01,
2.3296401e-03,1.21000e+01,
2.3296799e-03,1.22600e+01,
2.3297200e-03,1.08200e+01,
2.3297600e-03,1.08200e+01,
2.3298000e-03,1.22400e+01,
2.3298401e-03,1.22600e+01,
2.3298799e-03,1.08000e+01,
2.3299200e-03,1.09000e+01,
2.3299600e-03,1.22600e+01,
2.3300000e-03,1.21800e+01,
2.3300401e-03,1.08000e+01,
2.3300799e-03,1.10200e+01,
2.3301200e-03,1.22400e+01,
2.3301600e-03,1.21000e+01,
2.3302000e-03,1.08000e+01,
2.3302401e-03,1.12400e+01,
2.3302799e-03,1.22600e+01,
2.3303200e-03,1.19400e+01,
2.3303600e-03,1.08000e+01,
2.3304000e-03,1.14400e+01,
2.3304401e-03,1.22600e+01,
2.3304799e-03,1.18000e+01,
2.3305200e-03,1.08200e+01,
2.3305600e-03,1.16200e+01,
2.3306001e-03,1.22600e+01,
2.3306401e-03,1.16200e+01,
2.3306799e-03,1.08000e+01,
2.3307200e-03,1.17200e+01,
2.3307600e-03,1.22600e+01,
2.3308001e-03,1.08200e+01,
2.3308401e-03,1.16400e+01,
2.3308799e-03,1.22600e+01,
2.3309200e-03,1.15600e+01,
2.3309600e-03,1.08000e+01,
2.3310001e-03,1.17200e+01,
2.3310401e-03,1.22800e+01,
2.3310799e-03,1.13800e+01,
2.3311200e-03,1.08000e+01,
2.3311600e-03,1.17600e+01,
2.3312001e-03,1.22600e+01,
2.3312401e-03,1.12200e+01,
2.3312799e-03,1.08000e+01,
2.3313200e-03,1.18600e+01,
2.3313600e-03,1.22600e+01,
2.3314001e-03,1.10200e+01,
2.3314401e-03,1.08000e+01,
2.3314799e-03,1.20000e+01,
2.3315200e-03,1.22600e+01,
2.3315600e-03,1.09000e+01,
2.3316001e-03,1.08000e+01,
2.3316401e-03,1.21200e+01,
2.3316799e-03,1.22600e+01,
2.3317200e-03,1.08000e+01,
2.3317600e-03,1.08200e+01,
2.3318001e-03,1.22400e+01,
2.3318401e-03,1.22800e+01,
2.3318799e-03,1.08000e+01,
2.3319200e-03,1.09000e+01,
2.3319600e-03,1.22600e+01,
2.3320001e-03,1.22000e+01,
2.3320401e-03,1.08000e+01,
2.3320799e-03,1.10400e+01,
2.3321200e-03,1.22400e+01,
2.3321600e-03,1.20800e+01,
2.3322001e-03,1.07800e+01,
2.3322401e-03,1.12400e+01,
2.3322799e-03,1.22600e+01,
2.3323200e-03,1.19200e+01,
2.3323600e-03,1.08200e+01,
2.3324001e-03,1.14800e+01,
2.3324401e-03,1.22600e+01,
2.3324799e-03,1.17800e+01,
2.3325200e-03,1.08200e+01,
2.3325600e-03,1.16200e+01,
2.3326001e-03,1.22800e+01,
2.3326401e-03,1.16000e+01,
2.3326799e-03,1.08000e+01,
2.3327200e-03,1.22600e+01,
2.3327600e-03,1.17000e+01,
2.3328001e-03,1.08000e+01,
2.3328401e-03,1.16800e+01,
2.3328799e-03,1.22600e+01,
2.3329200e-03,1.15600e+01,
2.3329600e-03,1.08000e+01,
2.3330001e-03,1.17200e+01,
2.3330401e-03,1.22600e+01,
2.3330799e-03,1.13600e+01,
2.3331200e-03,1.08000e+01,
2.3331600e-03,1.17600e+01,
2.3332001e-03,1.22600e+01,
2.3332399e-03,1.12000e+01,
2.3332799e-03,1.08000e+01,
2.3333200e-03,1.18600e+01,
2.3333600e-03,1.22600e+01,
2.3334001e-03,1.10000e+01,
2.3334399e-03,1.07800e+01,
2.3334799e-03,1.20000e+01,
2.3335200e-03,1.22600e+01,
2.3335600e-03,1.09000e+01,
2.3336001e-03,1.08000e+01,
2.3336399e-03,1.21000e+01,
2.3336799e-03,1.22600e+01,
2.3337200e-03,1.08000e+01,
2.3337600e-03,1.08000e+01,
2.3338001e-03,1.22400e+01,
2.3338399e-03,1.22800e+01,
2.3338799e-03,1.08000e+01,
2.3339200e-03,1.09200e+01,
2.3339600e-03,1.22800e+01,
2.3340001e-03,1.22000e+01,
2.3340399e-03,1.08000e+01,
2.3340799e-03,1.10400e+01,
2.3341200e-03,1.22600e+01,
2.3341600e-03,1.21000e+01,
2.3342001e-03,1.08000e+01,
2.3342399e-03,1.12600e+01,
2.3342799e-03,1.22600e+01,
2.3343200e-03,1.19200e+01,
2.3343600e-03,1.08000e+01,
2.3344001e-03,1.14800e+01,
2.3344399e-03,1.22600e+01,
2.3344799e-03,1.17800e+01,
2.3345200e-03,1.08000e+01,
2.3345600e-03,1.16400e+01,
2.3346001e-03,1.22600e+01,
2.3346399e-03,1.16000e+01,
2.3346799e-03,1.08000e+01,
2.3347200e-03,1.22600e+01,
2.3347600e-03,1.17000e+01,
2.3348001e-03,1.08000e+01,
2.3348399e-03,1.16800e+01,
2.3348799e-03,1.22600e+01,
2.3349200e-03,1.15400e+01,
2.3349600e-03,1.08000e+01,
2.3350001e-03,1.17200e+01,
2.3350399e-03,1.22600e+01,
2.3350799e-03,1.13600e+01,
2.3351200e-03,1.08000e+01,
2.3351600e-03,1.17600e+01,
2.3352001e-03,1.22600e+01,
2.3352399e-03,1.12000e+01,
2.3352799e-03,1.08000e+01,
2.3353200e-03,1.18800e+01,
2.3353600e-03,1.22600e+01,
2.3354001e-03,1.10000e+01,
2.3354399e-03,1.08000e+01,
2.3354799e-03,1.20000e+01,
2.3355200e-03,1.22600e+01,
2.3355600e-03,1.08800e+01,
2.3356001e-03,1.08000e+01,
2.3356399e-03,1.21200e+01,
2.3356800e-03,1.22600e+01,
2.3357200e-03,1.08000e+01,
2.3357600e-03,1.08000e+01,
2.3358001e-03,1.22400e+01,
2.3358399e-03,1.22400e+01,
2.3358800e-03,1.08000e+01,
2.3359200e-03,1.09200e+01,
2.3359600e-03,1.22600e+01,
2.3360001e-03,1.21800e+01,
2.3360399e-03,1.08000e+01,
2.3360800e-03,1.10600e+01,
2.3361200e-03,1.22600e+01,
2.3361600e-03,1.20800e+01,
2.3362001e-03,1.08000e+01,
2.3362399e-03,1.12800e+01,
2.3362800e-03,1.23200e+01,
2.3363200e-03,1.20200e+01,
2.3363600e-03,1.07200e+01,
2.3364001e-03,1.15200e+01,
2.3364399e-03,1.23600e+01,
2.3364800e-03,1.18400e+01,
2.3365200e-03,1.07200e+01,
2.3365601e-03,1.16600e+01,
2.3366001e-03,1.23800e+01,
2.3366399e-03,1.16000e+01,
2.3366800e-03,1.07200e+01,
2.3367200e-03,1.23200e+01,
2.3367601e-03,1.17200e+01,
2.3368001e-03,1.07600e+01,
2.3368399e-03,1.17000e+01,
2.3368800e-03,1.23000e+01,
2.3369200e-03,1.15200e+01,
2.3369601e-03,1.07600e+01,
2.3370001e-03,1.17600e+01,
2.3370399e-03,1.22800e+01,
2.3370800e-03,1.13200e+01,
2.3371200e-03,1.08000e+01,
2.3371601e-03,1.17600e+01,
2.3372001e-03,1.22600e+01,
2.3372399e-03,1.12000e+01,
2.3372800e-03,1.08200e+01,
2.3373200e-03,1.18600e+01,
2.3373601e-03,1.22600e+01,
2.3374001e-03,1.10400e+01,
2.3374399e-03,1.08200e+01,
2.3374800e-03,1.20000e+01,
2.3375200e-03,1.22400e+01,
2.3375601e-03,1.09400e+01,
2.3376001e-03,1.08400e+01,
2.3376399e-03,1.20800e+01,
2.3376800e-03,1.22200e+01,
2.3377200e-03,1.08800e+01,
2.3377601e-03,1.08800e+01,
2.3378001e-03,1.21600e+01,
2.3378399e-03,1.22000e+01,
2.3378800e-03,1.09000e+01,
2.3379200e-03,1.09400e+01,
2.3379601e-03,1.21600e+01,
2.3380001e-03,1.21200e+01,
2.3380399e-03,1.09400e+01,
2.3380800e-03,1.10600e+01,
2.3381200e-03,1.21600e+01,
2.3381601e-03,1.20400e+01,
2.3382001e-03,1.09800e+01,
2.3382399e-03,1.12000e+01,
2.3382800e-03,1.21200e+01,
2.3383200e-03,1.19200e+01,
2.3383601e-03,1.10200e+01,
2.3384001e-03,1.13000e+01,
2.3384399e-03,1.21000e+01,
2.3384800e-03,1.18400e+01,
2.3385200e-03,1.10400e+01,
2.3385601e-03,1.14000e+01,
2.3386001e-03,1.20400e+01,
2.3386399e-03,1.17200e+01,
2.3386800e-03,1.10600e+01,
2.3387200e-03,1.14600e+01,
2.3387601e-03,1.20200e+01,
2.3388001e-03,1.16800e+01,
2.3388399e-03,1.10800e+01,
2.3388800e-03,1.14800e+01,
2.3389200e-03,1.20200e+01,
2.3389601e-03,1.16200e+01,
2.3390001e-03,1.11200e+01,
2.3390399e-03,1.15200e+01,
2.3390800e-03,1.21200e+01,
2.3391200e-03,1.16000e+01,
2.3391601e-03,1.10000e+01,
2.3391999e-03,1.15400e+01,
2.3392399e-03,1.20400e+01,
2.3392800e-03,1.15600e+01,
2.3393200e-03,1.10600e+01,
2.3393601e-03,1.15600e+01,
2.3393999e-03,1.20400e+01,
2.3394399e-03,1.15200e+01,
2.3394800e-03,1.10600e+01,
2.3395200e-03,1.16000e+01,
2.3395601e-03,1.20800e+01,
2.3395999e-03,1.14800e+01,
2.3396399e-03,1.10000e+01,
2.3396800e-03,1.21200e+01,
2.3397200e-03,1.15600e+01,
2.3397601e-03,1.10000e+01,
2.3397999e-03,1.16000e+01,
2.3398399e-03,1.21200e+01,
2.3398800e-03,1.17000e+01,
2.3399200e-03,1.14800e+01,
2.3399601e-03,1.09600e+01,
2.3399999e-03,1.22000e+01,
2.3400399e-03,1.16000e+01,
2.3400800e-03,1.09200e+01,
2.3401200e-03,1.16000e+01,
2.3401601e-03,1.22000e+01,
2.3401999e-03,1.14600e+01,
2.3402399e-03,1.08800e+01,
2.3402800e-03,1.17000e+01,
2.3403200e-03,1.22200e+01,
2.3403601e-03,1.13000e+01,
2.3403999e-03,1.08600e+01,
2.3404399e-03,1.18600e+01,
2.3404800e-03,1.22600e+01,
2.3405200e-03,1.11200e+01,
2.3405601e-03,1.08200e+01,
2.3405999e-03,1.19600e+01,
2.3406399e-03,1.22600e+01,
2.3406800e-03,1.09800e+01,
2.3407200e-03,1.08200e+01,
2.3407601e-03,1.20800e+01,
2.3407999e-03,1.22800e+01,
2.3408399e-03,1.08400e+01,
2.3408800e-03,1.08000e+01,
2.3409200e-03,1.22000e+01,
2.3409601e-03,1.22800e+01,
2.3409999e-03,1.07800e+01,
2.3410399e-03,1.08400e+01,
2.3410800e-03,1.22800e+01,
2.3411200e-03,1.22400e+01,
2.3411601e-03,1.08000e+01,
2.3411999e-03,1.09600e+01,
2.3412399e-03,1.22800e+01,
2.3412800e-03,1.21600e+01,
2.3413200e-03,1.07600e+01,
2.3413601e-03,1.11400e+01,
2.3413999e-03,1.23000e+01,
2.3414399e-03,1.20400e+01,
2.3414800e-03,1.08000e+01,
2.3415200e-03,1.13800e+01,
2.3415601e-03,1.22800e+01,
2.3415999e-03,1.18800e+01,
2.3416399e-03,1.07600e+01,
2.3416800e-03,1.16000e+01,
2.3417200e-03,1.23200e+01,
2.3417601e-03,1.17000e+01,
2.3417999e-03,1.07600e+01,
2.3418400e-03,1.17000e+01,
2.3418800e-03,1.22600e+01,
2.3419200e-03,1.07800e+01,
2.3419601e-03,1.16400e+01,
2.3419999e-03,1.23000e+01,
2.3420400e-03,1.16400e+01,
2.3420800e-03,1.07600e+01,
2.3421200e-03,1.17200e+01,
2.3421601e-03,1.22800e+01,
2.3421999e-03,1.14400e+01,
2.3422400e-03,1.07800e+01,
2.3422800e-03,1.17200e+01,
2.3423200e-03,1.22800e+01,
2.3423601e-03,1.12800e+01,
2.3423999e-03,1.07600e+01,
2.3424400e-03,1.17800e+01,
2.3424800e-03,1.23000e+01,
2.3425200e-03,1.11200e+01,
2.3425601e-03,1.07600e+01,
2.3425999e-03,1.18800e+01,
2.3426400e-03,1.22600e+01,
2.3426800e-03,1.09800e+01,
2.3427201e-03,1.08000e+01,
