X,CH1,CH2,
Second,Volt,Volt,
1.5574200e-04,-6.60000e-01,4.72000e+00,
1.5574400e-04,-6.60000e-01,4.64000e+00,
1.5574601e-04,-6.20000e-01,4.64000e+00,
1.5574800e-04,-6.00000e-01,4.72000e+00,
1.5575001e-04,-5.80000e-01,4.72000e+00,
1.5575200e-04,-5.60000e-01,4.64000e+00,
1.5575399e-04,-5.20000e-01,4.72000e+00,
1.5575600e-04,-4.80000e-01,4.64000e+00,
1.5575800e-04,-4.20000e-01,4.72000e+00,
1.5576000e-04,-4.00000e-01,4.72000e+00,
1.5576200e-04,-3.60000e-01,4.64000e+00,
1.5576401e-04,-3.20000e-01,4.72000e+00,
1.5576600e-04,-2.60000e-01,4.64000e+00,
1.5576799e-04,-1.80000e-01,4.80000e+00,
1.5577000e-04,-1.20000e-01,4.72000e+00,
1.5577200e-04,-1.00000e-01,4.64000e+00,
1.5577400e-04,-4.00000e-02,4.64000e+00,
1.5577600e-04,2.00000e-02,4.64000e+00,
1.5577801e-04,8.00000e-02,4.80000e+00,
1.5578000e-04,1.60000e-01,4.80000e+00,
1.5578201e-04,1.80000e-01,4.72000e+00,
1.5578400e-04,2.40000e-01,4.72000e+00,
1.5578599e-04,2.60000e-01,4.72000e+00,
1.5578800e-04,3.60000e-01,4.72000e+00,
1.5579000e-04,4.00000e-01,4.80000e+00,
1.5579200e-04,4.40000e-01,4.72000e+00,
1.5579400e-04,4.60000e-01,4.64000e+00,
1.5579601e-04,5.00000e-01,4.64000e+00,
1.5579800e-04,5.60000e-01,4.80000e+00,
1.5579999e-04,5.80000e-01,4.80000e+00,
1.5580200e-04,5.80000e-01,4.72000e+00,
1.5580399e-04,6.20000e-01,4.72000e+00,
1.5580600e-04,6.60000e-01,4.64000e+00,
1.5580800e-04,6.80000e-01,4.72000e+00,
1.5581000e-04,6.80000e-01,4.80000e+00,
1.5581200e-04,6.80000e-01,4.72000e+00,
1.5581401e-04,6.80000e-01,4.72000e+00,
1.5581600e-04,6.80000e-01,4.64000e+00,
1.5581799e-04,6.80000e-01,4.80000e+00,
1.5582000e-04,6.60000e-01,4.80000e+00,
1.5582200e-04,6.40000e-01,4.72000e+00,
1.5582400e-04,6.20000e-01,4.72000e+00,
1.5582600e-04,6.40000e-01,4.72000e+00,
1.5582801e-04,6.00000e-01,4.72000e+00,
1.5583000e-04,5.60000e-01,4.80000e+00,
1.5583199e-04,5.00000e-01,4.80000e+00,
1.5583400e-04,4.60000e-01,4.72000e+00,
1.5583599e-04,4.20000e-01,4.64000e+00,
1.5583800e-04,4.00000e-01,4.72000e+00,
1.5584000e-04,3.40000e-01,4.80000e+00,
1.5584200e-04,2.60000e-01,4.72000e+00,
1.5584400e-04,2.40000e-01,4.72000e+00,
1.5584601e-04,1.80000e-01,4.72000e+00,
1.5584800e-04,1.20000e-01,4.80000e+00,
1.5584999e-04,8.00000e-02,4.80000e+00,
1.5585200e-04,0.00000e+00,4.72000e+00,
1.5585400e-04,-6.00000e-02,4.72000e+00,
1.5585600e-04,-1.00000e-01,4.72000e+00,
1.5585800e-04,-1.60000e-01,4.80000e+00,
1.5586001e-04,-2.20000e-01,4.80000e+00,
1.5586200e-04,-2.80000e-01,4.72000e+00,
1.5586401e-04,-3.20000e-01,4.64000e+00,
1.5586600e-04,-3.40000e-01,4.64000e+00,
1.5586799e-04,-4.00000e-01,4.72000e+00,
1.5587000e-04,-4.60000e-01,4.72000e+00,
1.5587200e-04,-5.00000e-01,4.72000e+00,
1.5587400e-04,-5.20000e-01,4.72000e+00,
1.5587600e-04,-5.60000e-01,4.64000e+00,
1.5587801e-04,-6.00000e-01,4.80000e+00,
1.5588000e-04,-6.60000e-01,4.80000e+00,
1.5588199e-04,-6.60000e-01,4.72000e+00,
1.5588400e-04,-6.40000e-01,4.64000e+00,
1.5588599e-04,-6.20000e-01,4.72000e+00,
1.5588800e-04,-6.40000e-01,4.72000e+00,
1.5589000e-04,-6.80000e-01,4.80000e+00,
1.5589200e-04,-6.80000e-01,4.64000e+00,
1.5589400e-04,-6.80000e-01,4.72000e+00,
1.5589601e-04,-6.40000e-01,4.72000e+00,
1.5589800e-04,-6.40000e-01,4.80000e+00,
1.5589999e-04,-6.40000e-01,4.80000e+00,
1.5590200e-04,-6.00000e-01,4.72000e+00,
1.5590400e-04,-5.60000e-01,4.64000e+00,
