X,CH1,CH2,
Second,Volt,Volt,
4.6736799e-04,4.80000e-01,8.00000e-02,
4.6737000e-04,5.20000e-01,8.00000e-02,
4.6737201e-04,5.80000e-01,0.00000e+00,
4.6737399e-04,6.20000e-01,8.00000e-02,
4.6737600e-04,6.60000e-01,8.00000e-02,
4.6737801e-04,6.80000e-01,8.00000e-02,
4.6738001e-04,6.80000e-01,0.00000e+00,
4.6738199e-04,7.40000e-01,0.00000e+00,
4.6738400e-04,7.60000e-01,8.00000e-02,
4.6738601e-04,7.40000e-01,8.00000e-02,
4.6738799e-04,7.40000e-01,8.00000e-02,
4.6739000e-04,7.20000e-01,8.00000e-02,
4.6739200e-04,7.40000e-01,0.00000e+00,
4.6739401e-04,7.60000e-01,8.00000e-02,
4.6739599e-04,7.40000e-01,8.00000e-02,
4.6739800e-04,7.00000e-01,8.00000e-02,
4.6740001e-04,6.60000e-01,8.00000e-02,
4.6740199e-04,6.60000e-01,0.00000e+00,
4.6740400e-04,6.40000e-01,1.60000e-01,
4.6740600e-04,6.20000e-01,8.00000e-02,
4.6740801e-04,5.60000e-01,8.00000e-02,
4.6740999e-04,5.00000e-01,8.00000e-02,
4.6741200e-04,4.80000e-01,0.00000e+00,
4.6741401e-04,4.20000e-01,8.00000e-02,
4.6741599e-04,3.40000e-01,1.60000e-01,
4.6741799e-04,3.00000e-01,8.00000e-02,
4.6742000e-04,2.40000e-01,8.00000e-02,
4.6742201e-04,2.20000e-01,0.00000e+00,
4.6742399e-04,1.40000e-01,8.00000e-02,
4.6742600e-04,8.00000e-02,8.00000e-02,
4.6742801e-04,2.00000e-02,8.00000e-02,
4.6743001e-04,-6.00000e-02,0.00000e+00,
4.6743199e-04,-1.00000e-01,0.00000e+00,
4.6743400e-04,-1.40000e-01,8.00000e-02,
4.6743601e-04,-2.20000e-01,8.00000e-02,
4.6743799e-04,-3.00000e-01,8.00000e-02,
4.6744000e-04,-3.20000e-01,0.00000e+00,
4.6744201e-04,-3.80000e-01,-8.00000e-02,
4.6744401e-04,-4.20000e-01,8.00000e-02,
4.6744599e-04,-4.80000e-01,8.00000e-02,
4.6744800e-04,-5.40000e-01,8.00000e-02,
4.6745001e-04,-5.60000e-01,8.00000e-02,
4.6745199e-04,-5.80000e-01,0.00000e+00,
4.6745400e-04,-6.00000e-01,0.00000e+00,
4.6745600e-04,-6.40000e-01,8.00000e-02,
4.6745801e-04,-6.80000e-01,8.00000e-02,
4.6745999e-04,-7.00000e-01,8.00000e-02,
4.6746200e-04,-6.80000e-01,0.00000e+00,
4.6746401e-04,-6.80000e-01,0.00000e+00,
4.6746599e-04,-6.80000e-01,0.00000e+00,
4.6746799e-04,-7.20000e-01,8.00000e-02,
4.6747000e-04,-7.00000e-01,8.00000e-02,
4.6747201e-04,-7.00000e-01,0.00000e+00,
4.6747399e-04,-6.60000e-01,0.00000e+00,
4.6747600e-04,-6.40000e-01,0.00000e+00,
4.6747801e-04,-6.40000e-01,8.00000e-02,
4.6747999e-04,-6.00000e-01,0.00000e+00,
4.6748199e-04,-5.80000e-01,0.00000e+00,
4.6748400e-04,-5.20000e-01,8.00000e-02,
4.6748601e-04,-4.80000e-01,0.00000e+00,
4.6748799e-04,-4.60000e-01,8.00000e-02,
4.6749000e-04,-4.00000e-01,0.00000e+00,
4.6749201e-04,-3.60000e-01,-8.00000e-02,
4.6749401e-04,-3.00000e-01,8.00000e-02,
4.6749599e-04,-2.20000e-01,8.00000e-02,
4.6749800e-04,-1.80000e-01,8.00000e-02,
4.6750001e-04,-1.20000e-01,0.00000e+00,
4.6750199e-04,-8.00000e-02,0.00000e+00,
4.6750400e-04,-2.00000e-02,1.60000e-01,
4.6750600e-04,4.00000e-02,8.00000e-02,
4.6750801e-04,1.20000e-01,8.00000e-02,
4.6750999e-04,1.60000e-01,0.00000e+00,
4.6751200e-04,2.40000e-01,-8.00000e-02,
4.6751401e-04,2.60000e-01,8.00000e-02,
4.6751599e-04,3.20000e-01,8.00000e-02,
4.6751800e-04,4.00000e-01,8.00000e-02,
4.6752000e-04,4.20000e-01,0.00000e+00,
4.6752201e-04,4.80000e-01,-8.00000e-02,
4.6752399e-04,5.20000e-01,8.00000e-02,
4.6752600e-04,5.80000e-01,8.00000e-02,
4.6752801e-04,6.20000e-01,8.00000e-02,
4.6752999e-04,6.20000e-01,8.00000e-02,
4.6753199e-04,6.60000e-01,0.00000e+00,
4.6753400e-04,7.00000e-01,8.00000e-02,
4.6753601e-04,7.20000e-01,8.00000e-02,
4.6753799e-04,7.40000e-01,8.00000e-02,
4.6754000e-04,7.20000e-01,8.00000e-02,
4.6754201e-04,7.40000e-01,0.00000e+00,
4.6754401e-04,7.40000e-01,8.00000e-02,
4.6754599e-04,7.60000e-01,8.00000e-02,
4.6754800e-04,7.40000e-01,8.00000e-02,
4.6755001e-04,7.00000e-01,8.00000e-02,
4.6755199e-04,7.20000e-01,8.00000e-02,
4.6755400e-04,7.00000e-01,8.00000e-02,
4.6755600e-04,6.80000e-01,8.00000e-02,
4.6755801e-04,6.40000e-01,8.00000e-02,
4.6755999e-04,5.80000e-01,8.00000e-02,
4.6756200e-04,5.60000e-01,8.00000e-02,
4.6756401e-04,5.00000e-01,8.00000e-02,
4.6756599e-04,4.80000e-01,8.00000e-02,
4.6756800e-04,4.20000e-01,8.00000e-02,
4.6757000e-04,3.40000e-01,1.60000e-01,
4.6757201e-04,3.20000e-01,0.00000e+00,
4.6757399e-04,2.60000e-01,8.00000e-02,
4.6757600e-04,1.80000e-01,8.00000e-02,
4.6757801e-04,1.40000e-01,8.00000e-02,
4.6757999e-04,8.00000e-02,8.00000e-02,
4.6758199e-04,0.00000e+00,8.00000e-02,
4.6758400e-04,-6.00000e-02,1.60000e-01,
4.6758601e-04,-1.00000e-01,8.00000e-02,
4.6758799e-04,-1.60000e-01,8.00000e-02,
4.6759000e-04,-2.20000e-01,8.00000e-02,
4.6759201e-04,-2.80000e-01,0.00000e+00,
4.6759401e-04,-3.20000e-01,8.00000e-02,
4.6759599e-04,-3.80000e-01,8.00000e-02,
4.6759800e-04,-4.40000e-01,8.00000e-02,
4.6760001e-04,-4.80000e-01,0.00000e+00,
4.6760199e-04,-5.20000e-01,0.00000e+00,
4.6760400e-04,-5.40000e-01,8.00000e-02,
4.6760601e-04,-5.60000e-01,8.00000e-02,
4.6760801e-04,-6.20000e-01,8.00000e-02,
4.6760999e-04,-6.40000e-01,8.00000e-02,
4.6761200e-04,-6.60000e-01,0.00000e+00,
4.6761401e-04,-6.60000e-01,1.60000e-01,
4.6761599e-04,-6.80000e-01,8.00000e-02,
4.6761800e-04,-7.20000e-01,8.00000e-02,
4.6762000e-04,-7.00000e-01,0.00000e+00,
4.6762201e-04,-7.20000e-01,-8.00000e-02,
4.6762399e-04,-7.00000e-01,0.00000e+00,
4.6762600e-04,-6.80000e-01,8.00000e-02,
